Artist,Track,Popularity Score,Country,Track Duration,Key,Tempo (bpm),Time Signature,Loudness (dB),Valence,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Genre 9,Genre 10
Shubh,Still Rollin,76,India,02:54,F# Minor,94,4.0,-11.093,0.246,desi hip hop, punjabi hip hop,,,,,,,,
Shubh,Still Rollin,76,Pakistan,02:54,F# Minor,94,4.0,-11.093,0.246,desi hip hop, punjabi hip hop,,,,,,,,
Riar Saab,Obsessed,65,India,,F Minor,134,4.0,-4.099,0.851,punjabi pop,,,,,,,,,
Riar Saab,Obsessed,65,Pakistan,,F Minor,134,4.0,-4.099,0.851,punjabi pop,,,,,,,,,
DIVINE,Chorni,66,India,03:01,D Major,90,4.0,-5.706,0.618,desi hip hop, desi trap, hindi hip hop,,,,,,,
DIVINE,Chorni,66,Pakistan,03:01,D Major,90,4.0,-5.706,0.618,desi hip hop, desi trap, hindi hip hop,,,,,,,
Anirudh Ravichander,"Naa Ready (From ""Leo"")",81,India,04:08,C# Major,87,4.0,-5.576,0.572,desi hip hop, filmi, tamil hip hop,,,,,,,
Pritam,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",85,India,04:37,G Major,87,4.0,-6.504,0.532,filmi, indian instrumental, modern bollywood,,,,,,,
Pritam,Kesariya,85,India,04:28,C Major,94,4.0,-6.525,0.436,filmi, indian instrumental, modern bollywood,,,,,,,
Pritam,Kesariya,85,Pakistan,04:28,C Major,94,4.0,-6.525,0.436,filmi, indian instrumental, modern bollywood,,,,,,,
Sachet Tandon,Malang Sajna,72,India,02:40,A# Major,113,4.0,-4.964,0.871,desi pop, filmi, modern bollywood,,,,,,,
Sachet Tandon,Malang Sajna,72,Pakistan,02:40,A# Major,113,4.0,-4.964,0.871,desi pop, filmi, modern bollywood,,,,,,,
Pritam,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",85,India,05:13,G Major,112,4.0,-8.701,0.243,filmi, indian instrumental, modern bollywood,,,,,,,
Pritam,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",85,Pakistan,05:13,G Major,112,4.0,-8.701,0.243,filmi, indian instrumental, modern bollywood,,,,,,,
Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"")",78,India,05:41,D# Major,122,4.0,-8.744,0.415,filmi, hare krishna, modern bollywood,,,,,,,
Javed-Mohsin,Zihaal e Miskin,66,India,04:03,A Minor,128,4.0,-7.166,0.386,desi pop, modern bollywood,,,,,,,,
Javed-Mohsin,Zihaal e Miskin,66,Pakistan,04:03,A Minor,128,4.0,-7.166,0.386,desi pop, modern bollywood,,,,,,,,
Anirudh Ravichander,"Kaavaalaa (From ""Jailer"")",81,India,,B Minor,131,4.0,-6.829,0.479,desi hip hop, filmi, tamil hip hop,,,,,,,
Anirudh Ravichander,"Kaavaalaa (From ""Jailer"")",81,United Emirates,,B Minor,131,4.0,-6.829,0.479,desi hip hop, filmi, tamil hip hop,,,,,,,
